"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","812113","Nail salons","All establishments","All establishments","2022","33,802","3,676,927","808,171","145,402"
"United States","812113","Nail salons","All establishments","Establishments with less than 5 employees","2022","21,962","1,148,920","221,839","40,597"
"United States","812113","Nail salons","All establishments","Establishments with 5 to 9 employees","2022","8,418","1,244,594","292,316","54,253"
"United States","812113","Nail salons","All establishments","Establishments with 10 to 19 employees","2022","2,938","938,263","216,326","37,567"
"United States","812113","Nail salons","All establishments","Establishments with 20 to 49 employees","2022","471","326,416","73,490","12,125"
"United States","812113","Nail salons","All establishments","Establishments with 50 to 99 employees","2022","12","18,152","4,046","754"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","All establishments","2022","6,088","614,507","133,321","27,970"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2022","3,664","179,318","32,269","6,867"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2022","1,742","217,695","51,301","11,320"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2022","599","161,112","36,691","7,499"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2022","80","52,692","12,167","2,127"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2022","3","3,690","893","157"
"United States","812113","Nail salons","S-corporations","All establishments","2022","16,053","2,112,598","462,954","74,762"
"United States","812113","Nail salons","S-corporations","Establishments with less than 5 employees","2022","9,989","588,068","114,742","17,990"
"United States","812113","Nail salons","S-corporations","Establishments with 5 to 9 employees","2022","4,059","694,897","160,633","26,434"
"United States","812113","Nail salons","S-corporations","Establishments with 10 to 19 employees","2022","1,688","595,832","135,471","21,853"
"United States","812113","Nail salons","S-corporations","Establishments with 20 to 49 employees","2022","309","220,948","49,299","7,925"
"United States","812113","Nail salons","S-corporations","Establishments with 50 to 99 employees","2022","7","12,271","2,655","454"
"United States","812113","Nail salons","Individual proprietorships","All establishments","2022","8,582","603,092","137,401","29,438"
"United States","812113","Nail salons","Individual proprietorships","Establishments with less than 5 employees","2022","6,317","269,985","55,223","12,262"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 5 to 9 employees","2022","1,858","217,793","53,633","11,597"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 10 to 19 employees","2022","372","93,279","23,446","4,663"
"United States","812113","Nail salons","Individual proprietorships","Establishments with 20 to 49 employees","2022","34","21,663","5,022","843"
"United States","812113","Nail salons","Partnerships","All establishments","2022","3,070","346,042","74,338","13,208"
"United States","812113","Nail salons","Partnerships","Establishments with less than 5 employees","2022","1,985","111,141","19,543","3,468"
"United States","812113","Nail salons","Partnerships","Establishments with 5 to 9 employees","2022","757","113,929","26,654","4,888"
"United States","812113","Nail salons","Partnerships","Establishments with 10 to 19 employees","2022","279","88,040","20,718","3,552"
"United States","812113","Nail salons","Partnerships","Establishments with 20 to 49 employees","2022","48","31,113","7,002","1,230"
"United States","812113","Nail salons","Non-profit","All establishments","2022","7","439","90","16"
"United States","812113","Nail salons","Non-profit","Establishments with less than 5 employees","2022","6","322","62","10"
