"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Sales, value of shipments, or revenue size of establishments code (RCPSZES_LABEL)","Year (YEAR)","Number of nonemployer establishments (NESTAB)","Nonemployer sales, value of shipments, or revenue ($1,000) (NRCPTOT)"
"United States","812113","Nail salons","All establishments","All establishments","2022","280,875","11,669,937"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue less than $5,000","2022","24,262","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $5,000 to $9,999","2022","29,453","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $10,000 to $24,999","2022","90,355","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $25,000 to $49,999","2022","90,089","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $50,000 to $99,999","2022","29,692","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $100,000 to $249,999","2022","10,612","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $250,000 to $499,999","2022","4,454","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $500,000 to $999,999","2022","1,438","N"
"United States","812113","Nail salons","All establishments","Establishments with sales, value of shipments, or revenue of $1,000,000 to $2,499,999","2022","520","N"
"United States","812113","Nail salons","C-corporations and other corporate legal forms of organization","All establishments","2022","1,016","204,196"
"United States","812113","Nail salons","S-corporations","All establishments","2022","5,121","1,575,059"
"United States","812113","Nail salons","Individual proprietorships","All establishments","2022","271,264","8,666,167"
"United States","812113","Nail salons","Partnerships","All establishments","2022","3,474","1,224,515"
