"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","812112","Beauty Salons","Total","Total","Total","Total","2022","70,503","24,532,992","375,662","10,808,826","1.9","2.6","2.2","3.0"
"United States","812112","Beauty Salons","Total","Total","White","Total","2022","55,447","19,992,992","307,207","9,038,669","2.3","2.5","2.8","3.0"
"United States","812112","Beauty Salons","Total","Total","Black or African American","Total","2022","3,501","541,686","7,218","185,511","6.5","9.6","11.6","15.4"
"United States","812112","Beauty Salons","Total","Total","American Indian and Alaska Native","Total","2022","572","134,818","1,645","49,866","14.5","22.7","21.0","23.5"
"United States","812112","Beauty Salons","Total","Total","Asian","Total","2022","10,962","2,915,498","46,707","1,049,993","6.7","10.4","10.4","12.6"
"United States","812112","Beauty Salons","Total","Total","Native Hawaiian and Other Pacific Islander","Total","2022","S","S","500 to 999 employees","S","S","S","S","S"
"United States","812112","Beauty Salons","Total","Total","Minority","Total","2022","20,704","4,932,776","74,180","1,808,523","3.7","6.6","6.6","8.3"
"United States","812112","Beauty Salons","Total","Total","Equally minority/nonminority","Total","2022","1,384","564,739","9,349","262,809","8.8","15.2","19.2","17.1"
"United States","812112","Beauty Salons","Total","Total","Nonminority","Total","2022","48,286","18,169,447","280,243","8,285,577","2.4","2.8","3.1","3.2"
"United States","812112","Beauty Salons","Classifiable","Classifiable","Classifiable","Classifiable","2022","70,374","23,666,962","363,772","10,356,909","1.9","2.8","2.3","3.1"
"United States","812112","Beauty Salons","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","2022","129","866,031","11,890","451,918","37.8","13.2","31.8","11.3"
