"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","812112","Beauty Salons","Total","Total","Total","Total","2022","70,503","24,532,992","375,662","10,808,826","1.9","2.6","2.2","3.0"
"United States","812112","Beauty Salons","Female","Total","Total","Total","2022","48,248","13,504,722","204,701","5,861,517","2.5","4.4","4.7","5.0"
"United States","812112","Beauty Salons","Male","Total","Total","Total","2022","13,655","6,144,459","96,216","2,718,546","4.0","4.8","6.1","5.9"
"United States","812112","Beauty Salons","Equally male/female","Total","Total","Total","2022","8,471","4,017,781","62,855","1,776,846","6.6","8.7","9.3","9.5"
"United States","812112","Beauty Salons","Total","Hispanic","Total","Total","2022","6,222","1,403,115","18,962","533,846","6.9","7.8","9.3","10.7"
"United States","812112","Beauty Salons","Total","Equally Hispanic/non-Hispanic","Total","Total","2022","889","330,608","5,364","145,181","15.9","34.9","32.0","31.6"
"United States","812112","Beauty Salons","Total","Non-Hispanic","Total","Total","2022","63,263","21,933,238","339,446","9,677,881","1.9","3.0","2.5","3.2"
"United States","812112","Beauty Salons","Total","Total","White","Total","2022","55,447","19,992,992","307,207","9,038,669","2.3","2.5","2.8","3.0"
"United States","812112","Beauty Salons","Total","Total","Black or African American","Total","2022","3,501","541,686","7,218","185,511","6.5","9.6","11.6","15.4"
"United States","812112","Beauty Salons","Total","Total","American Indian and Alaska Native","Total","2022","572","134,818","1,645","49,866","14.5","22.7","21.0","23.5"
"United States","812112","Beauty Salons","Total","Total","Asian","Total","2022","10,962","2,915,498","46,707","1,049,993","6.7","10.4","10.4","12.6"
"United States","812112","Beauty Salons","Total","Total","Native Hawaiian and Other Pacific Islander","Total","2022","S","S","500 to 999 employees","S","S","S","S","S"
"United States","812112","Beauty Salons","Total","Total","Minority","Total","2022","20,704","4,932,776","74,180","1,808,523","3.7","6.6","6.6","8.3"
"United States","812112","Beauty Salons","Total","Total","Equally minority/nonminority","Total","2022","1,384","564,739","9,349","262,809","8.8","15.2","19.2","17.1"
"United States","812112","Beauty Salons","Total","Total","Nonminority","Total","2022","48,286","18,169,447","280,243","8,285,577","2.4","2.8","3.1","3.2"
"United States","812112","Beauty Salons","Total","Total","Total","Veteran","2022","1,074","503,579","8,124","251,157","11.2","24.4","28.7","27.5"
"United States","812112","Beauty Salons","Total","Total","Total","Equally veteran/nonveteran","2022","1,060","478,722","9,012","228,167","20.5","23.9","25.1","26.7"
"United States","812112","Beauty Salons","Total","Total","Total","Nonveteran","2022","68,240","22,684,661","346,636","9,877,584","1.8","2.7","2.3","3.1"
"United States","812112","Beauty Salons","Classifiable","Classifiable","Classifiable","Classifiable","2022","70,374","23,666,962","363,772","10,356,909","1.9","2.8","2.3","3.1"
"United States","812112","Beauty Salons","Unclassifiable","Unclassifiable","Unclassifiable","Unclassifiable","2022","129","866,031","11,890","451,918","37.8","13.2","31.8","11.3"
