"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"United States","812112","Beauty salons","All establishments","All establishments","2016","77,049","435,796","2,308,596","9,931,433"
"United States","812112","Beauty salons","Corporations","All establishments","2016","14,312","83,698","450,910","1,880,039"
"United States","812112","Beauty salons","S-corporations","All establishments","2016","37,024","229,952","1,287,861","5,578,496"
"United States","812112","Beauty salons","Non-profit","All establishments","2016","22","96","418","1,935"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","All establishments","2016","7","13","41","201"
"United States","812112","Beauty salons","Individual proprietorships","All establishments","2016","17,129","57,410","238,056","1,027,848"
"United States","812112","Beauty salons","Partnerships","All establishments","2016","8,555","64,627","331,310","1,442,914"
"United States","812112","Beauty salons","S-corporations","Establishments with 1 to 4 employees","2016","21,694","33,747","165,628","795,836"
"United States","812112","Beauty salons","Non-profit","Establishments with 1 to 4 employees","2016","15","17","93","485"
"United States","812112","Beauty salons","All establishments","Establishments with 1 to 4 employees","2016","47,742","82,628","380,022","1,749,803"
"United States","812112","Beauty salons","Partnerships","Establishments with 1 to 4 employees","2016","4,320","7,701","31,871","168,840"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","6","6","19","98"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 1 to 4 employees","2016","13,220","22,696","80,724","364,287"
"United States","812112","Beauty salons","Corporations","Establishments with 1 to 4 employees","2016","8,487","18,461","101,687","420,257"
"United States","812112","Beauty salons","S-corporations","Establishments with 5 to 9 employees","2016","7,698","52,011","267,669","1,137,248"
"United States","812112","Beauty salons","Corporations","Establishments with 5 to 9 employees","2016","4,017","27,643","127,384","514,711"
"United States","812112","Beauty salons","All establishments","Establishments with 5 to 9 employees","2016","16,739","112,550","536,900","2,249,013"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 5 to 9 employees","2016","2,839","18,111","73,312","307,393"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"United States","812112","Beauty salons","Non-profit","Establishments with 5 to 9 employees","2016","3","16","44","214"
"United States","812112","Beauty salons","Partnerships","Establishments with 5 to 9 employees","2016","2,181","14,762","68,469","289,344"
"United States","812112","Beauty salons","S-corporations","Establishments with 10 to 19 employees","2016","5,422","70,634","390,978","1,669,531"
"United States","812112","Beauty salons","All establishments","Establishments with 10 to 19 employees","2016","8,994","117,294","620,583","2,644,929"
"United States","812112","Beauty salons","Partnerships","Establishments with 10 to 19 employees","2016","1,435","18,976","93,142","401,123"
"United States","812112","Beauty salons","Corporations","Establishments with 10 to 19 employees","2016","1,260","16,604","82,897","348,406"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 10 to 19 employees","2016","873","11,017","53,285","224,633"
"United States","812112","Beauty salons","Non-profit","Establishments with 10 to 19 employees","2016","4","63","281","1,236"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","S-corporations","Establishments with 20 to 49 employees","2016","1,965","54,976","342,816","1,463,561"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 20 to 49 employees","2016","187","4,856","26,629","114,215"
"United States","812112","Beauty salons","All establishments","Establishments with 20 to 49 employees","2016","3,152","88,448","541,089","2,309,157"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Corporations","Establishments with 20 to 49 employees","2016","460","13,399","84,240","356,109"
"United States","812112","Beauty salons","Partnerships","Establishments with 20 to 49 employees","2016","540","15,217","87,404","375,272"
"United States","812112","Beauty salons","All establishments","Establishments with 50 to 99 employees","2016","356","23,327","157,742","668,594"
"United States","812112","Beauty salons","Corporations","Establishments with 50 to 99 employees","2016","67","4,607","31,355","132,362"
"United States","812112","Beauty salons","S-corporations","Establishments with 50 to 99 employees","2016","214","13,865","92,645","398,613"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 50 to 99 employees","2016","8","508","2,721","11,068"
"United States","812112","Beauty salons","Partnerships","Establishments with 50 to 99 employees","2016","67","4,347","31,021","126,551"
"United States","812112","Beauty salons","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","S-corporations","Establishments with 100 to 249 employees","2016","27","3,279","20,028","82,226"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"United States","812112","Beauty salons","Partnerships","Establishments with 100 to 249 employees","2016","10","1,481","7,615","35,059"
"United States","812112","Beauty salons","Corporations","Establishments with 100 to 249 employees","2016","21","2,984","23,347","108,194"
"United States","812112","Beauty salons","All establishments","Establishments with 100 to 249 employees","2016","60","7,966","52,375","231,731"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"United States","812112","Beauty salons","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
