"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments code (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"United States","812112","Beauty salons","All establishments","All establishments","2021","79,472","10,685,044","2,198,080","369,597"
"United States","812112","Beauty salons","All establishments","Establishments with less than 5 employees","2021","54,294","2,269,446","429,979","82,907"
"United States","812112","Beauty salons","All establishments","Establishments with 5 to 9 employees","2021","14,998","2,656,772","564,579","99,450"
"United States","812112","Beauty salons","All establishments","Establishments with 10 to 19 employees","2021","7,421","2,866,649","600,625","96,842"
"United States","812112","Beauty salons","All establishments","Establishments with 20 to 49 employees","2021","2,490","2,220,917","464,233","69,616"
"United States","812112","Beauty salons","All establishments","Establishments with 50 to 99 employees","2021","234","492,233","104,019","14,728"
"United States","812112","Beauty salons","All establishments","Establishments with 100 to 249 employees","2021","30","129,303","24,745","3,877"
"United States","812112","Beauty salons","All establishments","Establishments with 250 to 499 employees","2021","4","35,341","6,695","1,434"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","All establishments","2021","10,786","1,402,208","293,887","48,700"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2021","7,699","306,475","64,778","12,960"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2021","1,798","300,454","64,634","11,931"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2021","938","370,243","78,009","12,089"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2021","312","293,412","59,420","8,851"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2021","34","98,351","21,171","2,181"
"United States","812112","Beauty salons","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2021","5","33,273","5,875","688"
"United States","812112","Beauty salons","S-corporations","All establishments","2021","43,241","6,438,034","1,321,812","210,723"
"United States","812112","Beauty salons","S-corporations","Establishments with less than 5 employees","2021","28,942","1,274,487","242,465","42,529"
"United States","812112","Beauty salons","S-corporations","Establishments with 5 to 9 employees","2021","8,180","1,557,664","327,736","54,694"
"United States","812112","Beauty salons","S-corporations","Establishments with 10 to 19 employees","2021","4,405","1,754,935","368,365","57,460"
"United States","812112","Beauty salons","S-corporations","Establishments with 20 to 49 employees","2021","1,552","1,463,974","303,038","43,439"
"United States","812112","Beauty salons","S-corporations","Establishments with 50 to 99 employees","2021","142","295,392","61,266","9,039"
"United States","812112","Beauty salons","S-corporations","Establishments with 100 to 249 employees","2021","17","70,172","13,743","2,262"
"United States","812112","Beauty salons","Individual proprietorships","All establishments","2021","15,651","1,148,335","232,521","47,492"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with less than 5 employees","2021","12,515","431,130","79,246","18,789"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 5 to 9 employees","2021","2,244","327,617","71,467","14,229"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 10 to 19 employees","2021","743","243,802","52,162","9,507"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 20 to 49 employees","2021","137","104,197","21,758","3,701"
"United States","812112","Beauty salons","Individual proprietorships","Establishments with 50 to 99 employees","2021","9","17,982","3,637","545"
"United States","812112","Beauty salons","Partnerships","All establishments","2021","9,678","1,677,545","343,998","62,218"
"United States","812112","Beauty salons","Partnerships","Establishments with less than 5 employees","2021","5,058","252,405","42,292","8,539"
"United States","812112","Beauty salons","Partnerships","Establishments with 5 to 9 employees","2021","2,750","462,207","97,530","18,431"
"United States","812112","Beauty salons","Partnerships","Establishments with 10 to 19 employees","2021","1,329","495,943","101,385","17,709"
"United States","812112","Beauty salons","Partnerships","Establishments with 20 to 49 employees","2021","485","355,917","79,269","13,493"
"United States","812112","Beauty salons","Partnerships","Establishments with 50 to 99 employees","2021","49","80,508","17,945","2,963"
"United States","812112","Beauty salons","Partnerships","Establishments with 100 to 249 employees","2021","6","18,501","3,474","691"
"United States","812112","Beauty salons","Non-profit","All establishments","2021","30","2,727","578","119"
"United States","812112","Beauty salons","Non-profit","Establishments with less than 5 employees","2021","21","795","180","36"
"United States","812112","Beauty salons","Non-profit","Establishments with 5 to 9 employees","2021","6","834","162","36"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","All establishments","2021","86","16,195","5,284","345"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2021","59","4,154","1,018","54"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2021","20","7,996","3,050","129"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2021","4","1,457","647","56"
"United States","812112","Beauty salons","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2021","3","2,588","569","106"
