"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Sales, value of shipments, or revenue size of establishments code (RCPSZES_LABEL)","Year (YEAR)","Number of nonemployer establishments (NESTAB)","Nonemployer sales, value of shipments, or revenue ($1,000) (NRCPTOT)"
"United States","812112","Beauty Salons","All establishments","All establishments","2022","823,967","24,274,556"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue less than $5,000","2022","106,944","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $5,000 to $9,999","2022","106,864","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $10,000 to $24,999","2022","290,107","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $25,000 to $49,999","2022","182,402","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $50,000 to $99,999","2022","105,646","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $100,000 to $249,999","2022","29,493","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $250,000 to $499,999","2022","2,143","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $500,000 to $999,999","2022","284","N"
"United States","812112","Beauty Salons","All establishments","Establishments with sales, value of shipments, or revenue of $1,000,000 to $2,499,999","2022","84","N"
"United States","812112","Beauty Salons","C-corporations and other corporate legal forms of organization","All establishments","2022","2,991","250,114"
"United States","812112","Beauty Salons","S-corporations","All establishments","2022","13,944","1,299,772"
"United States","812112","Beauty Salons","Individual proprietorships","All establishments","2022","799,226","22,062,008"
"United States","812112","Beauty Salons","Partnerships","All establishments","2022","7,806","662,662"
